date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,385,385,370.1,370.1,450
2015-02-02 09:20:00+05:30,370.1,370.85,370.1,370.85,10
2015-02-02 09:25:00+05:30,370.85,385.25,370.85,385.25,445
2015-02-02 09:30:00+05:30,383.65,384.95,383.65,384.95,40
2015-02-02 09:35:00+05:30,386,386,386,386,630
2015-02-02 09:40:00+05:30,386,388.6,386,388,195
2015-02-02 09:45:00+05:30,388,388,386.1,386.1,40
2015-02-02 09:50:00+05:30,385.8,385.8,385.6,385.6,75
2015-02-02 09:55:00+05:30,385.8,385.8,385,385,25
2015-02-02 10:00:00+05:30,385,385.8,383.2,383.2,60
2015-02-02 10:05:00+05:30,383.2,383.6,383.2,383.2,0
2015-02-02 10:10:00+05:30,383.6,383.6,383.2,383.2,0
2015-02-02 10:15:00+05:30,383.2,383.2,383.05,383.1,35
2015-02-02 10:20:00+05:30,383.1,383.1,378,378,460
2015-02-02 10:25:00+05:30,377.2,377.2,374.35,376.2,70
2015-02-02 10:30:00+05:30,376.2,376.2,376.2,376.2,0
2015-02-02 10:35:00+05:30,376.2,376.2,376.2,376.2,0
2015-02-02 10:40:00+05:30,376.2,377,376.2,377,5
2015-02-02 10:45:00+05:30,377,380,377,380,120
2015-02-02 10:50:00+05:30,380,380,378,378,30
2015-02-02 10:55:00+05:30,378,378,378,378,0
2015-02-02 11:00:00+05:30,378,378,378,378,0
2015-02-02 11:05:00+05:30,378,378,378,378,0
2015-02-02 11:10:00+05:30,378,378,370.45,370.45,160
2015-02-02 11:15:00+05:30,370.45,380,370,377,2975
2015-02-02 11:20:00+05:30,377,377,377,377,0
2015-02-02 11:25:00+05:30,377,377,377,377,0
2015-02-02 11:30:00+05:30,377,377,377,377,0
2015-02-02 11:35:00+05:30,377,377,377,377,0
2015-02-02 11:40:00+05:30,377,377,377,377,0
2015-02-02 11:45:00+05:30,377,377,377,377,0
2015-02-02 11:50:00+05:30,377,377,377,377,0
2015-02-02 11:55:00+05:30,377,377,377,377,5
2015-02-02 12:00:00+05:30,377,379.75,377,378,175
2015-02-02 12:05:00+05:30,378,378,378,378,0
2015-02-02 12:10:00+05:30,378,378,377,377,25
2015-02-02 12:15:00+05:30,377,377,377,377,0
2015-02-02 12:20:00+05:30,377,377,369.5,369.5,600
2015-02-02 12:25:00+05:30,369.5,370,369.5,370,70
2015-02-02 12:30:00+05:30,370,370,370,370,10
2015-02-02 12:35:00+05:30,370,370,370,370,0
2015-02-02 12:40:00+05:30,370,370,367,368.4,515
2015-02-02 12:45:00+05:30,368.4,368.4,364.4,364.4,795
2015-02-02 12:50:00+05:30,364,364.4,357.45,362,1135
2015-02-02 12:55:00+05:30,362,369.8,362,369.8,645
2015-02-02 13:00:00+05:30,369.8,369.8,368.8,368.8,55
2015-02-02 13:05:00+05:30,368.8,368.8,368,368,105
2015-02-02 13:10:00+05:30,368,368.7,368,368.7,25
2015-02-02 13:15:00+05:30,368.7,369.4,368.7,369.4,5
2015-02-02 13:20:00+05:30,369.4,369.8,369,369.8,110
2015-02-02 13:25:00+05:30,370,375.6,370,372.6,285
2015-02-02 13:30:00+05:30,372.6,374,372.6,373,15
2015-02-02 13:35:00+05:30,373,375,372.8,375,55
2015-02-02 13:40:00+05:30,375,375,374.2,374.2,55
2015-02-02 13:45:00+05:30,374.2,374.2,374.2,374.2,0
2015-02-02 13:50:00+05:30,375,376.2,375,375.6,60
2015-02-02 13:55:00+05:30,374.2,374.2,374,374,35
2015-02-02 14:00:00+05:30,374,374,374,374,0
2015-02-02 14:05:00+05:30,374,374,372,372,60
2015-02-02 14:10:00+05:30,372,372,372,372,0
2015-02-02 14:15:00+05:30,372,373.95,372,372,60
2015-02-02 14:20:00+05:30,373.95,373.95,372,373.95,0
2015-02-02 14:25:00+05:30,373.95,373.95,372.55,373,110
2015-02-02 14:30:00+05:30,373,373,366,370,160
2015-02-02 14:35:00+05:30,370,372.15,370,372.15,110
2015-02-02 14:40:00+05:30,370,370,365,365,105
2015-02-02 14:45:00+05:30,365.95,366.25,360.3,364.2,635
2015-02-02 14:50:00+05:30,359.6,362,359.6,362,430
2015-02-02 14:55:00+05:30,362,363,361.6,361.6,640
2015-02-02 15:00:00+05:30,361.6,361.6,361,361,25
2015-02-02 15:05:00+05:30,361,361,360,360,130
2015-02-02 15:10:00+05:30,360,360,357.4,357.4,295
2015-02-02 15:15:00+05:30,357,357.8,356.2,356.2,115
2015-02-02 15:20:00+05:30,356,358,352.8,353,940
2015-02-02 15:25:00+05:30,354,355,350,353,1590
2015-02-03 09:15:00+05:30,352,352,352,352,0
2015-02-03 09:20:00+05:30,352,360,352,360,35
2015-02-03 09:25:00+05:30,360,363.65,359.25,363.6,335
2015-02-03 09:30:00+05:30,363.6,363.6,350,354.25,1185
2015-02-03 09:35:00+05:30,354.25,357.35,352,352,770
2015-02-03 09:40:00+05:30,352,354,351,354,1435
2015-02-03 09:45:00+05:30,353.65,357.35,353.65,354,420
2015-02-03 09:50:00+05:30,354,354,354,354,480
2015-02-03 09:55:00+05:30,354,354,354,354,440
2015-02-03 10:00:00+05:30,354,354,354,354,65
2015-02-03 10:05:00+05:30,354,354,353.65,353.65,30
2015-02-03 10:10:00+05:30,353.65,354,353.4,354,100
2015-02-03 10:15:00+05:30,353.6,354,353.6,354,100
2015-02-03 10:20:00+05:30,354,354,353.8,353.8,45
2015-02-03 10:25:00+05:30,353.8,353.8,353.4,353.6,215
2015-02-03 10:30:00+05:30,353.6,353.6,353.6,353.6,250
2015-02-03 10:35:00+05:30,353.6,353.6,352,352,3345
2015-02-03 10:40:00+05:30,352,354,352,354,10
2015-02-03 10:45:00+05:30,354,354,354,354,0
2015-02-03 10:50:00+05:30,354,354,354,354,0
2015-02-03 10:55:00+05:30,354,354,354,354,250
2015-02-03 11:00:00+05:30,354,354,352.8,352.8,55
2015-02-03 11:05:00+05:30,352.8,353,352.8,353,215
2015-02-03 11:10:00+05:30,353.4,355,352.6,353,75
2015-02-03 11:15:00+05:30,355,355,353,355,0
2015-02-03 11:20:00+05:30,353,355,353,353,0
2015-02-03 11:25:00+05:30,355,355,355,355,0
2015-02-03 11:30:00+05:30,355,355,355,355,0
2015-02-03 11:35:00+05:30,355,355,355,355,0
2015-02-03 11:40:00+05:30,355,355,355,355,0
2015-02-03 11:45:00+05:30,355,358.8,355,358.8,275
2015-02-03 11:50:00+05:30,358.8,358.8,358.8,358.8,0
2015-02-03 11:55:00+05:30,358.8,358.8,358.8,358.8,50
2015-02-03 12:00:00+05:30,358.8,359.75,358.8,359.75,205
2015-02-03 12:05:00+05:30,359.75,359.75,358.6,359,65
2015-02-03 12:10:00+05:30,358.8,359.75,358.8,359.75,100
2015-02-03 12:15:00+05:30,359.75,359.75,358.8,358.8,65
2015-02-03 12:20:00+05:30,358.8,359,358.8,359,30
2015-02-03 12:25:00+05:30,358.8,359,358.8,359,5
2015-02-03 12:30:00+05:30,359,359.75,359,359.75,150
2015-02-03 12:35:00+05:30,359.75,359.75,358.4,358.4,50
2015-02-03 12:40:00+05:30,358.4,359.05,358.4,359.05,5
2015-02-03 12:45:00+05:30,358.8,359.05,358.8,358.8,5
2015-02-03 12:50:00+05:30,358.8,358.8,358.8,358.8,0
2015-02-03 12:55:00+05:30,358.8,358.8,358.8,358.8,0
2015-02-03 13:00:00+05:30,358.8,358.8,358.8,358.8,0
2015-02-03 13:05:00+05:30,358.8,358.8,358.8,358.8,0
2015-02-03 13:10:00+05:30,358.8,358.8,358.8,358.8,0
2015-02-03 13:15:00+05:30,358.8,358.8,358.8,358.8,0
2015-02-03 13:20:00+05:30,358.8,359.2,358.8,359.2,100
2015-02-03 13:25:00+05:30,359.2,359.2,359.2,359.2,0
2015-02-03 13:30:00+05:30,359.2,360,359.2,360,160
2015-02-03 13:35:00+05:30,360,360,359.2,359.9,130
2015-02-03 13:40:00+05:30,359.9,359.9,359.9,359.9,25
2015-02-03 13:45:00+05:30,360,360,359.9,360,160
2015-02-03 13:50:00+05:30,360,361.1,359.9,360.2,35
2015-02-03 13:55:00+05:30,360,361,360,361,490
2015-02-03 14:00:00+05:30,360,361,360,361,5
2015-02-03 14:05:00+05:30,361,361,360,360,25
2015-02-03 14:10:00+05:30,360,360,360,360,500
2015-02-03 14:15:00+05:30,360,360,360,360,0
2015-02-03 14:20:00+05:30,360,360.6,360,360.6,890
2015-02-03 14:25:00+05:30,360.6,360.6,360,360,5
2015-02-03 14:30:00+05:30,360,360,360,360,165
2015-02-03 14:35:00+05:30,360.35,360.35,360,360,25
2015-02-03 14:40:00+05:30,360.35,360.35,360.35,360.35,0
2015-02-03 14:45:00+05:30,362,366,362,366,400
2015-02-03 14:50:00+05:30,366,366,365.8,365.8,90
2015-02-03 14:55:00+05:30,365.8,365.8,364,364,45
2015-02-03 15:00:00+05:30,364,364,361,361,125
2015-02-03 15:05:00+05:30,361,362.75,359.9,362.75,310
2015-02-03 15:10:00+05:30,362.75,363.4,362.75,363.4,10
2015-02-03 15:15:00+05:30,363.4,363.6,362,362,55
2015-02-03 15:20:00+05:30,362,362.55,360,362.55,85
2015-02-03 15:25:00+05:30,362.55,363.6,358.6,363.6,315
2015-02-04 09:15:00+05:30,388.55,388.55,364.2,370,45
2015-02-04 09:20:00+05:30,370,370,370,370,0
2015-02-04 09:25:00+05:30,365,365,364.7,365,145
2015-02-04 09:30:00+05:30,365,365,364.8,364.8,15
2015-02-04 09:35:00+05:30,364.8,364.8,364.8,364.8,0
2015-02-04 09:40:00+05:30,364.8,364.8,364.8,364.8,0
2015-02-04 09:45:00+05:30,364.8,364.8,364.8,364.8,0
2015-02-04 09:50:00+05:30,364.4,364.8,364.4,364.8,30
2015-02-04 09:55:00+05:30,364.4,364.4,363.8,363.8,5
2015-02-04 10:00:00+05:30,363.8,363.8,363.8,363.8,0
2015-02-04 10:05:00+05:30,363.8,363.8,363.8,363.8,0
2015-02-04 10:10:00+05:30,363.8,363.8,363.8,363.8,0
2015-02-04 10:15:00+05:30,363.8,363.8,362.2,362.95,30
2015-02-04 10:20:00+05:30,363.8,363.8,362.95,362.95,0
2015-02-04 10:25:00+05:30,362.95,362.95,362.95,362.95,0
2015-02-04 10:30:00+05:30,362.95,362.95,362.95,362.95,0
2015-02-04 10:35:00+05:30,362.95,362.95,362.95,362.95,0
2015-02-04 10:40:00+05:30,362.95,362.95,362.95,362.95,0
2015-02-04 10:45:00+05:30,362.95,362.95,362.95,362.95,0
2015-02-04 10:50:00+05:30,362.95,362.95,362.95,362.95,0
2015-02-04 10:55:00+05:30,362.95,363.9,362.95,363.9,25
2015-02-04 11:00:00+05:30,362.95,363.9,362.95,362.95,0
2015-02-04 11:05:00+05:30,363.9,363.9,363.9,363.9,0
2015-02-04 11:10:00+05:30,363.9,363.9,363.9,363.9,0
2015-02-04 11:15:00+05:30,363.9,364,362.95,362.95,110
2015-02-04 11:20:00+05:30,362.95,362.95,362.95,362.95,0
2015-02-04 11:25:00+05:30,362,362,361.2,361.2,100
2015-02-04 11:30:00+05:30,362,362,361.2,362,0
2015-02-04 11:35:00+05:30,361.2,361.2,360,360,90
2015-02-04 11:40:00+05:30,360.7,364,360.7,363.4,110
2015-02-04 11:45:00+05:30,363.4,363.8,362,362,840
2015-02-04 11:50:00+05:30,362,363,360,360,755
2015-02-04 11:55:00+05:30,361,361,360,360,0
2015-02-04 12:00:00+05:30,360,360,360,360,0
2015-02-04 12:05:00+05:30,360,360,360,360,0
2015-02-04 12:10:00+05:30,360,360,360,360,0
2015-02-04 12:15:00+05:30,363.25,363.25,362,362,15
2015-02-04 12:20:00+05:30,362,363.35,362,363.25,10
2015-02-04 12:25:00+05:30,363.35,363.35,363.25,363.35,0
2015-02-04 12:30:00+05:30,363.25,363.35,363.25,363.25,0
2015-02-04 12:35:00+05:30,363.35,363.35,363.25,363.35,0
2015-02-04 12:40:00+05:30,363.25,363.35,363.25,363.35,60
2015-02-04 12:45:00+05:30,363.35,363.35,363.25,363.35,0
2015-02-04 12:50:00+05:30,363.35,363.35,363.35,363.35,0
2015-02-04 12:55:00+05:30,363.35,363.35,363.35,363.35,0
2015-02-04 13:00:00+05:30,363.35,363.35,362,362,5
2015-02-04 13:05:00+05:30,362,362,362,362,0
2015-02-04 13:10:00+05:30,362,362,362,362,0
2015-02-04 13:15:00+05:30,362,362,362,362,0
2015-02-04 13:20:00+05:30,362,362,362,362,0
2015-02-04 13:25:00+05:30,362,362,362,362,0
2015-02-04 13:30:00+05:30,362,362,362,362,0
2015-02-04 13:35:00+05:30,362,362,362,362,0
2015-02-04 13:40:00+05:30,362,362,362,362,0
2015-02-04 13:45:00+05:30,362,362,362,362,0
2015-02-04 13:50:00+05:30,359.9,359.9,350,355.5,2460
2015-02-04 13:55:00+05:30,355.5,355.6,355.2,355.2,35
2015-02-04 14:00:00+05:30,355.2,358.4,354,357.95,425
2015-02-04 14:05:00+05:30,357.95,360,357.95,359.15,505
2015-02-04 14:10:00+05:30,360,360,360,360,330
2015-02-04 14:15:00+05:30,360,360,360,360,180
2015-02-04 14:20:00+05:30,360,360,360,360,2025
2015-02-04 14:25:00+05:30,360,362,360,361.2,95
2015-02-04 14:30:00+05:30,361.4,366,361.2,361.2,165
2015-02-04 14:35:00+05:30,361.2,361.2,361.2,361.2,0
2015-02-04 14:40:00+05:30,361.2,361.2,361.2,361.2,0
2015-02-04 14:45:00+05:30,361.2,361.2,360,360,325
2015-02-04 14:50:00+05:30,360,361.35,359.95,361.35,890
2015-02-04 14:55:00+05:30,361,361.35,361,361,15
2015-02-04 15:00:00+05:30,361,361.35,361,361,0
2015-02-04 15:05:00+05:30,361.35,361.35,360,360,100
2015-02-04 15:10:00+05:30,360.8,360.8,360,360,25
2015-02-04 15:15:00+05:30,360,361.2,360,361.2,170
2015-02-04 15:20:00+05:30,361.2,361.2,359.9,360,1280
2015-02-04 15:25:00+05:30,360,360.2,360,360,170
2015-02-05 09:15:00+05:30,360,360,360,360,0
2015-02-05 09:20:00+05:30,360,360,360,360,25
2015-02-05 09:25:00+05:30,360,360,359,359,40
2015-02-05 09:30:00+05:30,359,359,359,359,0
2015-02-05 09:35:00+05:30,359,359,359,359,15
2015-02-05 09:40:00+05:30,359,359,359,359,0
2015-02-05 09:45:00+05:30,359,359,359,359,0
2015-02-05 09:50:00+05:30,359,359.75,359,359.75,25
2015-02-05 09:55:00+05:30,359.75,359.75,359.75,359.75,0
